9.093091487884521484e-01	-3.526368141174316406e-01
8.104230761528015137e-01	-1.145991161465644836e-01
8.481974005699157715e-01	-9.900981187820434570e-02
8.710463047027587891e-01	-7.296930253505706787e-02
8.804500102996826172e-01	-3.980159386992454529e-02
8.479937314987182617e-01	1.406141370534896851e-01
5.643710494041442871e-01	5.293437838554382324e-01
1.563370227813720703e-01	7.834949493408203125e-01
-2.059145569801330566e-01	8.309814929962158203e-01
-4.286179542541503906e-01	7.669603824615478516e-01
-5.658635497093200684e-01	6.642059683799743652e-01
-6.671656966209411621e-01	4.977899193763732910e-01
-7.383256554603576660e-01	1.668350398540496826e-01
-6.975916028022766113e-01	-2.889026701450347900e-01
-5.828947424888610840e-01	-7.205073237419128418e-01
-4.907436370849609375e-01	-9.868203401565551758e-01
-4.697476029396057129e-01	-1.047591328620910645e+00
-4.384102225303649902e-01	-1.142677545547485352e+00
